Feature,Importance,Input_Weight_Importance
CREG1,5.079114,5.079114
MUCL1,5.0779257,5.0779257
CANT1,5.0772734,5.0772734
PDIA3,5.077242,5.077242
S100A9,5.0769367,5.0769367
SLC7A5,5.0768795,5.0768795
SPR,5.0768013,5.0768013
RACK1,5.076598,5.076598
ITGB6,5.076167,5.076167
PLAT,5.0760775,5.0760775
PGAP3,5.075281,5.075281
QSOX1,5.0750437,5.0750437
AMFR,5.0736027,5.0736027
RPS12,5.07183,5.07183
STOM,5.071712,5.071712
OPRPN,5.071514,5.071514
SLC38A1,5.071504,5.071504
KRT20,5.070852,5.070852
GDF9,5.0707593,5.0707593
HMGB3,5.070159,5.070159
H2AW,5.0700006,5.0700006
COX7A2,5.069852,5.069852
RTL8C,5.068579,5.068579
H2AJ,5.068237,5.068237
HK2,5.068165,5.068165
SCGB2A1,5.0680895,5.0680895
AQP3,5.0680113,5.0680113
ABHD11,5.067543,5.067543
KRT10,5.067212,5.067212
KRT13,5.067047,5.067047
FXYD5,5.066929,5.066929
CAPN6,5.066863,5.066863
FGFR2,5.066749,5.066749
ITGA6,5.066198,5.066198
MORF4L2,5.0657654,5.0657654
MMP13,5.0656676,5.0656676
PSAT1,5.065113,5.065113
BCHE,5.0648017,5.0648017
CERS4,5.0647335,5.0647335
COX5A,5.064601,5.064601
PPP4C,5.0642548,5.0642548
G0S2,5.064023,5.064023
TRPA1,5.063881,5.063881
VMO1,5.0637884,5.0637884
SERP1,5.063759,5.063759
RPS28,5.0634217,5.0634217
TIMP1,5.0633593,5.0633593
ATP2A3,5.063057,5.063057
RBM3,5.062462,5.062462
CHAD,5.062439,5.062439
MDFI,5.062331,5.062331
HMGN1,5.0622416,5.0622416
ITM2B,5.061752,5.061752
DPM1,5.0616837,5.0616837
XRCC6,5.0613394,5.0613394
RNASE1,5.0611267,5.0611267
PARD6B,5.06098,5.06098
GBP4,5.0603614,5.0603614
PLD3,5.059903,5.059903
NKAIN1,5.0598125,5.0598125
LCP1,5.059684,5.059684
BPIFB2,5.0596266,5.0596266
METTL26,5.0595903,5.0595903
MKNK2,5.0586257,5.0586257
AP1M2,5.058262,5.058262
DDRGK1,5.0580945,5.0580945
KLK5,5.0580196,5.0580196
TNNT1,5.057876,5.057876
NDUFB7,5.057829,5.057829
PSMB1,5.057723,5.057723
NSMCE4A,5.0572906,5.0572906
FLYWCH2,5.056881,5.056881
SLC5A6,5.056224,5.056224
SH3BGRL3,5.0553284,5.0553284
ALG8,5.0548077,5.0548077
MB,5.054429,5.054429
PRPF6,5.0539217,5.0539217
ALDH9A1,5.053891,5.053891
POP7,5.05311,5.05311
CYP27A1,5.0529146,5.0529146
ELOB,5.052869,5.052869
PFN1,5.0528316,5.0528316
ACSL3,5.0517874,5.0517874
C5orf38,5.051468,5.051468
EIF3H,5.050656,5.050656
SNX3,5.0505342,5.0505342
TAGLN2,5.0503516,5.0503516
UCP2,5.050236,5.050236
HMGA1,5.0496087,5.0496087
SNRPB2,5.0494633,5.0494633
MAOB,5.04937,5.04937
SLC34A2,5.0479155,5.0479155
TFRC,5.0476294,5.0476294
RPL8,5.0474358,5.0474358
NME3,5.0471706,5.0471706
MPZL1,5.0471373,5.0471373
PCBD1,5.0469375,5.0469375
RAB10,5.0468063,5.0468063
SEPHS2,5.046673,5.046673
SLC7A8,5.0459776,5.0459776
SUMF2,5.0459666,5.0459666
GDI2,5.045308,5.045308
MZB1,5.0451674,5.0451674
EIF6,5.0450435,5.0450435
DHCR24,5.043549,5.043549
BCL2A1,5.043176,5.043176
GSTM3,5.0412726,5.0412726
SLC30A8,5.0410743,5.0410743
MARCKS,5.041071,5.041071
H2AX,5.040476,5.040476
CDKN1A,5.040181,5.040181
ITM2C,5.0398364,5.0398364
PGD,5.039588,5.039588
DBI,5.0393047,5.0393047
PHPT1,5.0392084,5.0392084
TOMM7,5.0383,5.0383
MAF1,5.0378094,5.0378094
PGR,5.0377045,5.0377045
SLC12A2,5.0374575,5.0374575
SQSTM1,5.0374207,5.0374207
SLC25A39,5.0364623,5.0364623
IFI35,5.035948,5.035948
MCM3,5.0357103,5.0357103
PGGHG,5.035572,5.035572
CD81,5.035304,5.035304
AKR7A3,5.0350485,5.0350485
ATP9A,5.0350466,5.0350466
TCP1,5.03452,5.03452
SCNN1A,5.0340543,5.0340543
SERPINA1,5.0339103,5.0339103
CHMP4B,5.033832,5.033832
OST4,5.033829,5.033829
SUSD3,5.033351,5.033351
METRN,5.033169,5.033169
PLP2,5.0331364,5.0331364
FBL,5.0328403,5.0328403
FKBP10,5.031976,5.031976
RPS21,5.031656,5.031656
KCNE4,5.031455,5.031455
ADIPOR2,5.0307026,5.0307026
SOD1,5.0305004,5.0305004
SUMO2,5.0299883,5.0299883
ZNF217,5.029971,5.029971
PYDC1,5.0297394,5.0297394
EI24,5.029566,5.029566
NPDC1,5.0291505,5.0291505
MYOC,5.029089,5.029089
RPL38,5.028225,5.028225
FMOD,5.0278654,5.0278654
HSP90B1,5.027676,5.027676
CTSD,5.027104,5.027104
NENF,5.0265307,5.0265307
TPI1,5.0263224,5.0263224
GP2,5.0261455,5.0261455
FST,5.0258493,5.0258493
TPT1,5.0256186,5.0256186
